Domain,Area,Element,Item,Year,Unit,Value,Note
Agriculture Total,Puerto Rico,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1636,
Agriculture Total,Puerto Rico,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.6151,
Agriculture Total,Qatar,Emissions (N2O),Manure Management,2010,gigagrams,0.0065,
Agriculture Total,Qatar,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.7049,
Agriculture Total,Qatar,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0181,
Agriculture Total,Qatar,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.2579,
Agriculture Total,Republic of Korea,Emissions (N2O),Manure Management,2010,gigagrams,3.4057,
Agriculture Total,Republic of Korea,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,4.4416,
Agriculture Total,Republic of Korea,Emissions (N2O),Manure applied to Soils,2010,gigagrams,2.631,
Agriculture Total,Republic of Korea,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.9354,
Agriculture Total,Republic of Moldova,Emissions (N2O),Manure Management,2010,gigagrams,0.2897,
Agriculture Total,Republic of Moldova,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.3405,
Agriculture Total,Republic of Moldova,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.5356,
Agriculture Total,Republic of Moldova,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.4017,
Agriculture Total,Réunion,Emissions (N2O),Manure Management,2010,gigagrams,0.0413,
Agriculture Total,Réunion,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0528,
Agriculture Total,Réunion,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.2641,
Agriculture Total,Romania,Emissions (N2O),Manure Management,2010,gigagrams,2.9378,
Agriculture Total,Romania,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,6.3663,
Agriculture Total,Romania,Emissions (N2O),Manure applied to Soils,2010,gigagrams,5.0195,
Agriculture Total,Romania,Emissions (N2O),Manure left on Pasture,2010,gigagrams,4.4981,
Agriculture Total,Russian Federation,Emissions (N2O),Manure Management,2010,gigagrams,16.1603,
Agriculture Total,Russian Federation,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,24.8333,
Agriculture Total,Russian Federation,Emissions (N2O),Manure applied to Soils,2010,gigagrams,25.4541,
Agriculture Total,Russian Federation,Emissions (N2O),Manure left on Pasture,2010,gigagrams,15.9339,
Agriculture Total,Rwanda,Emissions (N2O),Manure Management,2010,gigagrams,0.3326,
Agriculture Total,Rwanda,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.002,
Agriculture Total,Rwanda,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.299,
Agriculture Total,Rwanda,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.2629,
Agriculture Total,"Saint Helena, Ascension and Tristan da Cunha",Emissions (N2O),Manure Management,2010,gigagrams,0.0003,
Agriculture Total,"Saint Helena, Ascension and Tristan da Cunha",Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0002,
Agriculture Total,"Saint Helena, Ascension and Tristan da Cunha",Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.002,
Agriculture Total,Saint Kitts and Nevis,Emissions (N2O),Manure Management,2010,gigagrams,0.002,
Agriculture Total,Saint Kitts and Nevis,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0005,
Agriculture Total,Saint Kitts and Nevis,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0039,
Agriculture Total,Saint Kitts and Nevis,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.015,
Agriculture Total,Saint Lucia,Emissions (N2O),Manure Management,2010,gigagrams,0.0065,
Agriculture Total,Saint Lucia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0052,
Agriculture Total,Saint Lucia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0092,
Agriculture Total,Saint Lucia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0267,
Agriculture Total,Saint Pierre and Miquelon,Emissions (N2O),Manure Management,2010,gigagrams,0.0001,
Agriculture Total,Saint Pierre and Miquelon,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0004,
Agriculture Total,Saint Pierre and Miquelon,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0001,
Agriculture Total,Saint Vincent and the Grenadines,Emissions (N2O),Manure Management,2010,gigagrams,0.0028,
Agriculture Total,Saint Vincent and the Grenadines,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0047,
Agriculture Total,Saint Vincent and the Grenadines,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0156,
Agriculture Total,Samoa,Emissions (N2O),Manure Management,2010,gigagrams,0.029,
Agriculture Total,Samoa,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0001,
Agriculture Total,Samoa,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0306,
Agriculture Total,Samoa,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0868,
Agriculture Total,Sao Tome and Principe,Emissions (N2O),Manure Management,2010,gigagrams,0.0112,
Agriculture Total,Sao Tome and Principe,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0086,
Agriculture Total,Sao Tome and Principe,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0093,
Agriculture Total,Saudi Arabia,Emissions (N2O),Manure Management,2010,gigagrams,0.1408,
Agriculture Total,Saudi Arabia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.6027,
Agriculture Total,Saudi Arabia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.3918,
Agriculture Total,Saudi Arabia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,6.0406,
Agriculture Total,Senegal,Emissions (N2O),Manure Management,2010,gigagrams,0.265,
Agriculture Total,Senegal,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5657,
Agriculture Total,Senegal,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.3752,
Agriculture Total,Senegal,Emissions (N2O),Manure left on Pasture,2010,gigagrams,9.4488,
Agriculture Total,Serbia,Emissions (N2O),Manure Management,2010,gigagrams,1.1678,
Agriculture Total,Serbia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,4.4441,
Agriculture Total,Serbia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.8937,
Agriculture Total,Serbia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.1792,
Agriculture Total,Seychelles,Emissions (N2O),Manure Management,2010,gigagrams,0.0022,
Agriculture Total,Seychelles,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0002,
Agriculture Total,Seychelles,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0021,
Agriculture Total,Seychelles,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0066,
Agriculture Total,Sierra Leone,Emissions (N2O),Manure Management,2010,gigagrams,0.0418,
Agriculture Total,Sierra Leone,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0706,
Agriculture Total,Sierra Leone,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.7842,
Agriculture Total,Singapore,Emissions (N2O),Manure Management,2010,gigagrams,0.0073,
Agriculture Total,Singapore,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5737,
Agriculture Total,Singapore,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0202,
Agriculture Total,Singapore,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0284,
Agriculture Total,Slovakia,Emissions (N2O),Manure Management,2010,gigagrams,0.4166,
Agriculture Total,Slovakia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.9357,
Agriculture Total,Slovakia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.6717,
Agriculture Total,Slovakia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.316,
Agriculture Total,Slovenia,Emissions (N2O),Manure Management,2010,gigagrams,0.315,
Agriculture Total,Slovenia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.569,
Agriculture Total,Slovenia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.4657,
Agriculture Total,Slovenia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.3812,
Agriculture Total,Solomon Islands,Emissions (N2O),Manure Management,2010,gigagrams,0.0098,
Agriculture Total,Solomon Islands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0113,
Agriculture Total,Solomon Islands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.031,
Agriculture Total,Somalia,Emissions (N2O),Manure Management,2010,gigagrams,0.1654,
Agriculture Total,Somalia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.4492,
Agriculture Total,Somalia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,20.3465,
Agriculture Total,South Africa,Emissions (N2O),Manure Management,2010,gigagrams,1.1237,
Agriculture Total,South Africa,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,8.2245,
Agriculture Total,South Africa,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.3194,
Agriculture Total,South Africa,Emissions (N2O),Manure left on Pasture,2010,gigagrams,31.9975,
Agriculture Total,Spain,Emissions (N2O),Manure Management,2010,gigagrams,6.1765,
Agriculture Total,Spain,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,19.595,
Agriculture Total,Spain,Emissions (N2O),Manure applied to Soils,2010,gigagrams,10.9127,
Agriculture Total,Spain,Emissions (N2O),Manure left on Pasture,2010,gigagrams,10.7691,
Agriculture Total,Sri Lanka,Emissions (N2O),Manure Management,2010,gigagrams,0.0798,
Agriculture Total,Sri Lanka,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.4584,
Agriculture Total,Sri Lanka,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2818,
Agriculture Total,Sri Lanka,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.9558,
Agriculture Total,Sudan (former),Emissions (N2O),Manure Management,2010,gigagrams,1.0975,
Agriculture Total,Sudan (former),Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.6945,
Agriculture Total,Sudan (former),Emissions (N2O),Manure applied to Soils,2010,gigagrams,2.8206,
Agriculture Total,Sudan (former),Emissions (N2O),Manure left on Pasture,2010,gigagrams,102.1568,
Agriculture Total,Suriname,Emissions (N2O),Manure Management,2010,gigagrams,0.0212,
Agriculture Total,Suriname,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.205,
Agriculture Total,Suriname,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.046,
Agriculture Total,Suriname,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1335,
Agriculture Total,Sweden,Emissions (N2O),Manure Management,2010,gigagrams,1.0233,
Agriculture Total,Sweden,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.4812,
Agriculture Total,Sweden,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.5197,
Agriculture Total,Sweden,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.2551,
Agriculture Total,Switzerland,Emissions (N2O),Manure Management,2010,gigagrams,1.1992,
Agriculture Total,Switzerland,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.0583,
Agriculture Total,Switzerland,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.7026,
Agriculture Total,Switzerland,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.3085,
Agriculture Total,Syrian Arab Republic,Emissions (N2O),Manure Management,2010,gigagrams,0.057,
Agriculture Total,Syrian Arab Republic,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.4814,
Agriculture Total,Syrian Arab Republic,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1388,
Agriculture Total,Syrian Arab Republic,Emissions (N2O),Manure left on Pasture,2010,gigagrams,7.344,
Agriculture Total,Tajikistan,Emissions (N2O),Manure Management,2010,gigagrams,0.9878,
Agriculture Total,Tajikistan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.9472,
Agriculture Total,Tajikistan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.0294,
Agriculture Total,Tajikistan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,2.4671,
Agriculture Total,Thailand,Emissions (N2O),Manure Management,2010,gigagrams,6.4934,
Agriculture Total,Thailand,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,33.4616,
Agriculture Total,Thailand,Emissions (N2O),Manure applied to Soils,2010,gigagrams,4.1617,
Agriculture Total,Thailand,Emissions (N2O),Manure left on Pasture,2010,gigagrams,8.4272,
Agriculture Total,Timor-Leste,Emissions (N2O),Manure Management,2010,gigagrams,0.201,
Agriculture Total,Timor-Leste,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1095,
Agriculture Total,Timor-Leste,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.3191,
Agriculture Total,Togo,Emissions (N2O),Manure Management,2010,gigagrams,0.2747,
Agriculture Total,Togo,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.1921,
Agriculture Total,Togo,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2478,
Agriculture Total,Togo,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.9322,
Agriculture Total,Tokelau,Emissions (N2O),Manure Management,2010,gigagrams,0.0001,
Agriculture Total,Tokelau,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0002,
Agriculture Total,Tokelau,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0,
Agriculture Total,Tonga,Emissions (N2O),Manure Management,2010,gigagrams,0.0127,
Agriculture Total,Tonga,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0669,
Agriculture Total,Tonga,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0149,
Agriculture Total,Tonga,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0349,
Agriculture Total,Trinidad and Tobago,Emissions (N2O),Manure Management,2010,gigagrams,0.0655,
Agriculture Total,Trinidad and Tobago,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.1062,
Agriculture Total,Trinidad and Tobago,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1756,
Agriculture Total,Trinidad and Tobago,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.2576,
Agriculture Total,Tunisia,Emissions (N2O),Manure Management,2010,gigagrams,0.1194,
Agriculture Total,Tunisia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.713,
Agriculture Total,Tunisia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.3279,
Agriculture Total,Tunisia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.4915,
Agriculture Total,Turkey,Emissions (N2O),Manure Management,2010,gigagrams,0.5334,
Agriculture Total,Turkey,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,29.7271,
Agriculture Total,Turkey,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.2748,
Agriculture Total,Turkey,Emissions (N2O),Manure left on Pasture,2010,gigagrams,31.6189,
Agriculture Total,Turkmenistan,Emissions (N2O),Manure Management,2010,gigagrams,1.3968,
Agriculture Total,Turkmenistan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.7203,
Agriculture Total,Turkmenistan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.6082,
Agriculture Total,Tuvalu,Emissions (N2O),Manure Management,2010,gigagrams,0.0018,
Agriculture Total,Tuvalu,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0023,
Agriculture Total,Tuvalu,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0,
Agriculture Total,Uganda,Emissions (N2O),Manure Management,2010,gigagrams,1.2768,
Agriculture Total,Uganda,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.1325,
Agriculture Total,Uganda,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.4058,
Agriculture Total,Uganda,Emissions (N2O),Manure left on Pasture,2010,gigagrams,24.7687,
Agriculture Total,Ukraine,Emissions (N2O),Manure Management,2010,gigagrams,4.6359,
Agriculture Total,Ukraine,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,16.1285,
Agriculture Total,Ukraine,Emissions (N2O),Manure applied to Soils,2010,gigagrams,7.4193,
Agriculture Total,Ukraine,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.0722,
Agriculture Total,United Arab Emirates,Emissions (N2O),Manure Management,2010,gigagrams,0.0202,
Agriculture Total,United Arab Emirates,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5424,
Agriculture Total,United Arab Emirates,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0552,
Agriculture Total,United Arab Emirates,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.687,
Agriculture Total,United Kingdom,Emissions (N2O),Manure Management,2010,gigagrams,6.8389,
Agriculture Total,United Kingdom,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,21.2795,
Agriculture Total,United Kingdom,Emissions (N2O),Manure applied to Soils,2010,gigagrams,10.9195,
Agriculture Total,United Kingdom,Emissions (N2O),Manure left on Pasture,2010,gigagrams,16.0853,
Agriculture Total,United Republic of Tanzania,Emissions (N2O),Manure Management,2010,gigagrams,0.6519,
Agriculture Total,United Republic of Tanzania,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.3821,
Agriculture Total,United Republic of Tanzania,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.3119,
Agriculture Total,United Republic of Tanzania,Emissions (N2O),Manure left on Pasture,2010,gigagrams,37.718,
Agriculture Total,United States of America,Emissions (N2O),Manure Management,2010,gigagrams,47.1337,
Agriculture Total,United States of America,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,230.2165,
Agriculture Total,United States of America,Emissions (N2O),Manure applied to Soils,2010,gigagrams,53.4725,
Agriculture Total,United States of America,Emissions (N2O),Manure left on Pasture,2010,gigagrams,129.9852,
Agriculture Total,United States Virgin Islands,Emissions (N2O),Manure Management,2010,gigagrams,0.0009,
Agriculture Total,United States Virgin Islands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0017,
Agriculture Total,United States Virgin Islands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0146,
Agriculture Total,Uruguay,Emissions (N2O),Manure Management,2010,gigagrams,0.1792,
Agriculture Total,Uruguay,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.1539,
Agriculture Total,Uruguay,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.8595,
Agriculture Total,Uruguay,Emissions (N2O),Manure left on Pasture,2010,gigagrams,19.9654,
Agriculture Total,Uzbekistan,Emissions (N2O),Manure Management,2010,gigagrams,4.8219,
Agriculture Total,Uzbekistan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,13.1745,
Agriculture Total,Uzbekistan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,4.415,
Agriculture Total,Uzbekistan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,9.7561,
Agriculture Total,Vanuatu,Emissions (N2O),Manure Management,2010,gigagrams,0.0431,
Agriculture Total,Vanuatu,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0315,
Agriculture Total,Vanuatu,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.3596,
Agriculture Total,Venezuela (Bolivarian Republic of),Emissions (N2O),Manure Management,2010,gigagrams,1.3469,
Agriculture Total,Venezuela (Bolivarian Republic of),Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,6.1906,
Agriculture Total,Venezuela (Bolivarian Republic of),Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.2886,
Agriculture Total,Venezuela (Bolivarian Republic of),Emissions (N2O),Manure left on Pasture,2010,gigagrams,22.3578,
Agriculture Total,Viet Nam,Emissions (N2O),Manure Management,2010,gigagrams,8.8827,
Agriculture Total,Viet Nam,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,24.9057,
Agriculture Total,Viet Nam,Emissions (N2O),Manure applied to Soils,2010,gigagrams,6.1978,
Agriculture Total,Viet Nam,Emissions (N2O),Manure left on Pasture,2010,gigagrams,9.9229,
Agriculture Total,Wallis and Futuna Islands,Emissions (N2O),Manure Management,2010,gigagrams,0.0031,
Agriculture Total,Wallis and Futuna Islands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.004,
Agriculture Total,Wallis and Futuna Islands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0027,
Agriculture Total,Western Sahara,Emissions (N2O),Manure Management,2010,gigagrams,0.0006,
Agriculture Total,Western Sahara,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0031,
Agriculture Total,Western Sahara,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.155,
Agriculture Total,Yemen,Emissions (N2O),Manure Management,2010,gigagrams,0.0958,
Agriculture Total,Yemen,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.498,
Agriculture Total,Yemen,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2353,
Agriculture Total,Yemen,Emissions (N2O),Manure left on Pasture,2010,gigagrams,9.7549,
Agriculture Total,Zambia,Emissions (N2O),Manure Management,2010,gigagrams,0.3879,
Agriculture Total,Zambia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.6161,
Agriculture Total,Zambia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.379,
Agriculture Total,Zambia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.9272,
Agriculture Total,Zimbabwe,Emissions (N2O),Manure Management,2010,gigagrams,0.2925,
Agriculture Total,Zimbabwe,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.468,
Agriculture Total,Zimbabwe,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.391,
Agriculture Total,Zimbabwe,Emissions (N2O),Manure left on Pasture,2010,gigagrams,11.2002,
